r,g,b,r_new,g_new,b_new
32,32,0,38,29,9
32,32,16,38,42,23
32,32,32,35,31,32
32,32,48,35,31,48
32,32,64,35,55,65
32,32,80,0,49,80
32,32,96,0,49,95
32,32,112,0,72,111
32,32,128,0,83,129
32,32,144,0,83,144
32,32,160,0,102,158
32,32,176,0,102,170
32,32,192,0,110,184
32,32,208,0,127,196
32,32,224,0,127,205
32,32,240,0,132,215
32,48,0,38,44,9
32,48,16,38,46,23
32,48,32,35,46,32
32,48,48,35,46,48
32,48,64,35,50,65
32,48,80,0,57,80
32,48,96,0,57,95
32,48,112,0,61,111
32,48,128,0,91,129
32,48,144,0,91,144
32,48,160,0,95,158
32,48,176,0,94,170
32,48,192,0,118,184
32,48,208,0,121,196
32,48,224,0,122,205
32,48,240,0,138,215
32,64,0,79,56,9
32,64,16,78,57,24
32,64,32,75,58,41
32,64,48,75,58,49
32,64,64,70,59,65
32,64,80,39,66,82
32,64,96,39,66,96
32,64,112,23,69,111
32,64,128,35,92,129
32,64,144,35,92,145
32,64,160,0,100,160
32,64,176,0,99,175
32,64,192,23,115,185
32,64,208,0,126,197
32,64,224,0,125,210
32,64,240,0,135,219
32,80,0,90,67,23
32,80,16,87,68,32
32,80,32,89,68,39
32,80,48,89,68,52
32,80,64,68,76,67
32,80,80,78,71,82
32,80,96,78,71,98
32,80,112,61,92,114
32,80,128,42,84,129
32,80,144,42,82,145
32,80,160,42,108,159
32,80,176,42,108,172
32,80,192,0,109,190
32,80,208,0,129,203
32,80,224,0,129,211
32,80,240,0,134,224
32,96,0,89,81,23
32,96,16,89,81,32
32,96,32,89,82,39
32,96,48,89,82,53
32,96,64,68,84,67
32,96,80,78,86,82
32,96,96,78,86,98
32,96,112,61,91,114
32,96,128,42,95,129
32,96,144,42,94,145
32,96,160,42,101,159
32,96,176,42,102,172
32,96,192,0,117,190
32,96,208,0,122,203
32,96,224,0,122,211
32,96,240,0,141,224
32,112,0,130,94,23
32,112,16,130,94,35
32,112,32,129,95,48
32,112,48,129,95,55
32,112,64,126,95,69
32,112,80,121,98,85
32,112,96,121,98,99
32,112,112,113,99,114
32,112,128,100,105,131
32,112,144,100,105,146
32,112,160,85,107,161
32,112,176,85,107,178
32,112,192,53,123,191
32,112,208,19,126,205
32,112,224,19,127,222
32,112,240,42,144,227
32,128,0,143,109,0
32,128,16,142,110,18
32,128,32,144,106,47
32,128,48,144,106,59
32,128,64,138,109,72
32,128,80,138,108,84
32,128,96,138,108,102
32,128,112,121,114,116
32,128,128,125,113,132
32,128,144,100,113,146
32,128,160,90,128,163
32,128,176,90,128,177
32,128,192,96,122,194
32,128,208,73,143,208
32,128,224,73,143,218
32,128,240,42,143,227
32,144,0,142,125,0
32,144,16,144,125,18
32,144,32,144,120,47
32,144,48,144,120,56
32,144,64,138,121,73
32,144,80,138,122,86
32,144,96,138,122,101
32,144,112,121,124,117
32,144,128,125,127,133
32,144,144,125,127,148
32,144,160,90,132,163
32,144,176,90,132,177
32,144,192,96,135,194
32,144,208,73,143,208
32,144,224,73,143,218
32,144,240,36,148,239
32,160,0,184,139,0
32,160,16,186,139,21
32,160,32,184,133,56
32,160,48,184,133,59
32,160,64,182,134,75
32,160,80,179,135,90
32,160,96,179,135,102
32,160,112,174,136,117
32,160,128,169,140,134
32,160,144,169,140,147
32,160,160,159,141,164
32,160,176,159,139,180
32,160,192,149,148,195
32,160,208,135,148,210
32,160,224,135,150,225
32,160,240,105,156,241
32,176,0,186,149,0
32,176,16,185,149,21
32,176,32,184,146,56
32,176,48,184,146,60
32,176,64,182,147,73
32,176,80,179,147,91
32,176,96,179,147,102
32,176,112,174,150,116
32,176,128,169,151,135
32,176,144,169,151,149
32,176,160,159,155,165
32,176,176,159,155,180
32,176,192,149,158,195
32,176,208,135,162,210
32,176,224,135,163,225
32,176,240,105,165,241
32,192,0,199,158,48
32,192,16,199,158,52
32,192,32,198,159,56
32,192,48,195,160,68
32,192,64,195,160,80
32,192,80,195,160,89
32,192,96,195,160,106
32,192,112,187,162,119
32,192,128,186,163,135
32,192,144,186,163,151
32,192,160,170,166,167
32,192,176,170,166,180
32,192,192,171,169,197
32,192,208,138,174,213
32,192,224,138,175,227
32,192,240,147,178,241
32,208,0,235,171,48
32,208,16,231,171,70
32,208,32,232,172,85
32,208,48,232,172,74
32,208,64,232,172,83
32,208,80,229,174,115
32,208,96,229,174,112
32,208,112,229,174,124
32,208,128,223,177,148
32,208,144,223,177,157
32,208,160,222,177,166
32,208,176,222,177,181
32,208,192,214,182,196
32,208,208,204,183,213
32,208,224,204,183,227
32,208,240,198,189,242
32,224,0,234,183,48
32,224,16,230,183,70
32,224,32,232,183,85
32,224,48,232,183,73
32,224,64,232,184,86
32,224,80,229,184,114
32,224,96,229,184,112
32,224,112,229,187,120
32,224,128,229,187,137
32,224,144,223,187,155
32,224,160,222,191,168
32,224,176,222,191,183
32,224,192,214,192,199
32,224,208,204,196,214
32,224,224,204,196,227
32,224,240,198,198,242
32,240,0,242,194,116
32,240,16,237,194,101
32,240,32,241,194,94
32,240,48,241,194,113
32,240,64,239,195,117
32,240,80,241,196,104
32,240,96,241,196,127
32,240,112,236,197,139
32,240,128,239,200,140
32,240,144,239,200,157
32,240,160,230,202,173
32,240,176,230,202,186
32,240,192,234,206,202
32,240,208,220,210,213
32,240,224,220,210,230
32,240,240,215,209,241
48,0,0,32,26,0
48,0,16,32,26,17
48,0,32,18,30,30
48,0,48,18,30,45
48,0,64,18,30,62
48,0,80,0,63,81
48,0,96,0,63,97
48,0,112,0,63,112
48,0,128,0,93,127
48,0,144,0,93,142
48,0,160,0,93,155
48,0,176,0,93,168
48,0,192,0,118,182
48,0,208,0,118,194
48,0,224,0,118,204
48,0,240,0,139,213
48,16,0,35,31,0
48,16,16,35,32,16
48,16,32,21,34,35
48,16,48,21,34,46
48,16,64,18,40,62
48,16,80,3,57,81
48,16,96,3,57,97
48,16,112,0,73,113
48,16,128,0,83,127
48,16,144,0,83,142
48,16,160,0,101,156
48,16,176,0,101,170
48,16,192,0,110,182
48,16,208,0,125,194
48,16,224,0,125,205
48,16,240,0,133,214
48,32,0,57,29,9
48,32,16,57,42,23
48,32,32,52,31,32
48,32,48,52,31,48
48,32,64,52,55,65
48,32,80,0,49,80
48,32,96,0,49,95
48,32,112,0,72,111
48,32,128,0,83,129
48,32,144,0,83,144
48,32,160,0,102,158
48,32,176,0,102,170
48,32,192,0,110,184
48,32,208,0,127,196
48,32,224,0,127,205
48,32,240,0,132,215
48,48,0,57,44,9
48,48,16,57,46,23
48,48,32,52,46,32
48,48,48,52,46,48
48,48,64,52,50,65
48,48,80,0,57,80
48,48,96,0,57,95
48,48,112,0,61,111
48,48,128,0,91,129
48,48,144,0,91,144
48,48,160,0,94,158
48,48,176,0,94,170
48,48,192,0,118,184
48,48,208,0,121,196
48,48,224,0,121,205
48,48,240,0,139,215
48,64,0,64,56,9
48,64,16,64,57,24
48,64,32,58,58,41
